tempo,altura
0.62,1.9
0.53,1.9
0.63,1.9
0.62,1.9
0.59,1.9
0.5,1.9
0.62,1.9
0.6,1.9
0.57,1.9
0.53,1.9
0.63,1.9
0.5,1.9
0.5,1.9
0.53,1.9
0.7,1.9
0.5,1.9
0.59,1.9
0.66,1.9
0.56,1.9
0.56,1.9
0.62,1.9
0.57,1.9
0.6,1.9
0.57,1.9
0.59,1.9
0.56,1.9
0.56,1.9
0.66,1.9
0.66,1.9
0.63,1.9
0.53,1.75
0.66,1.75
0.59,1.75
0.56,1.75
0.66,1.75
0.59,1.75
0.53,1.75
0.59,1.75
0.59,1.75
0.62,1.75
0.63,1.75
0.62,1.75
0.59,1.75
0.59,1.75
0.63,1.75
0.62,1.75
0.6,1.75
0.6,1.75
0.59,1.75
0.53,1.75
0.59,1.75
0.63,1.75
0.63,1.75
0.53,1.75
0.54,1.75
0.63,1.75
0.53,1.75
0.56,1.75
0.59,1.75
0.56,1.75
0.57,1.6
0.54,1.6
0.53,1.6
0.6,1.6
0.5,1.6
0.6,1.6
0.54,1.6
0.6,1.6
0.56,1.6
0.5,1.6
0.59,1.6
0.57,1.6
0.5,1.6
0.56,1.6
0.62,1.6
0.6,1.6
0.59,1.6
0.57,1.6
0.56,1.6
0.56,1.6
0.59,1.6
0.53,1.6
0.56,1.6
0.59,1.6
0.5,1.6
0.53,1.6
0.5,1.6
0.57,1.6
0.56,1.6
0.53,1.6
0.5,1.45
0.53,1.45
0.53,1.45
0.5,1.45
0.47,1.45
0.47,1.45
0.5,1.45
0.53,1.45
0.53,1.45
0.5,1.45
0.5,1.45
0.47,1.45
0.56,1.45
0.47,1.45
0.47,1.45
0.53,1.45
0.53,1.45
0.53,1.45
0.56,1.45
0.53,1.45
0.53,1.45
0.53,1.45
0.5,1.45
0.47,1.45
0.53,1.45
0.56,1.45
0.56,1.45
0.53,1.45
0.53,1.45
0.53,1.45
0.54,1.3
0.5,1.3
0.5,1.3
0.56,1.3
0.57,1.3
0.6,1.3
0.46,1.3
0.47,1.3
0.47,1.3
0.5,1.3
0.53,1.3
0.53,1.3
0.5,1.3
0.47,1.3
0.5,1.3
0.5,1.3
0.56,1.3
0.47,1.3
0.44,1.3
0.5,1.3
0.47,1.3
0.54,1.3
0.5,1.3
0.56,1.3
0.56,1.3
0.47,1.3
0.5,1.3
0.57,1.3
0.53,1.3
0.5,1.3
